estimate,CI_left,CI_right,misp,estimator,iter
1.41407387510353,1.33307794993979,1.48814915405327,3,auDRI,9
1.4375982731889,1.37037086816204,1.50482567821576,3,AIPW,9
2.21289208140172,2.08279457028762,2.33894137114763,4,auDRI,9
2.4731353179855,2.3387317336284,2.60753890234261,4,AIPW,9
1.33354481848628,1.25683578108441,1.41112256983941,1,auDRI,10
1.31725836118616,1.23797688047266,1.39653984189965,1,AIPW,10
1.42057341403597,1.30517584910314,1.53453393156137,2,auDRI,10
1.33224584461605,1.10887034650085,1.55562134273125,2,AIPW,10
1.3500782351266,1.26878778482982,1.42728392053975,3,auDRI,10
1.37013911991618,1.30039283872772,1.43988540110464,3,AIPW,10
2.1813432264436,2.05938511886162,2.30232483490379,4,auDRI,10
2.37950186936,2.24120467906749,2.51779905965252,4,AIPW,10
1.4038791565524,1.32226400887149,1.48607744779905,1,auDRI,11
1.39425414504419,1.31443632474451,1.47407196534387,1,AIPW,11
1.48481136197887,1.36068262072432,1.61080972294027,2,auDRI,11
1.49445285006181,1.29065324656609,1.69825245355753,2,AIPW,11
1.43063816940231,1.35336486961803,1.51406050678069,3,auDRI,11
1.42362982960505,1.35401202289592,1.49324763631419,3,AIPW,11
2.28538693778611,2.15561984933018,2.41489162525511,4,auDRI,11
2.52947146270338,2.39525296701589,2.66368995839087,4,AIPW,11
1.36861419319726,1.27314308571186,1.46837007843716,1,auDRI,12
1.35375200791031,1.26717187008917,1.44033214573145,1,AIPW,12
1.49963028380061,1.37856539002267,1.62141730783963,2,auDRI,12
1.51517538956395,1.32219143714608,1.70815934198182,2,AIPW,12
1.39754108787725,1.29997304770468,1.4937741991163,3,auDRI,12
1.41484700053992,1.34458752983872,1.48510647124112,3,AIPW,12
2.16568192054637,2.03659657809675,2.30135582993512,4,auDRI,12
2.40824562876916,2.2744836106553,2.54200764688303,4,AIPW,12
