estimate,CI_left,CI_right,misp,estimator,lrnr,ATE,iter
0.148069872402287,0.123172625058148,0.172789138419818,2,auDRI,gam_1,0.137394877839875,2
0.159113181877559,0.13128969173308,0.186936672022038,2,AIPW,gam_1,0.137394877839875,2
0.147520256409993,0.125168050685897,0.169361406475639,3,auDRI,gam_1,0.137394877839875,2
0.155357097899254,0.136127717445663,0.174586478352845,3,AIPW,gam_1,0.137394877839875,2
0.341549048611765,0.320281213652027,0.362511342273703,4,auDRI,gam_1,0.137394877839875,2
0.341519486963083,0.320274791824453,0.362764182101714,4,AIPW,gam_1,0.137394877839875,2
0.143017489541524,0.118639777888212,0.166619606922998,1,auDRI,gam_2,0.137394877839875,2
0.143094718483929,0.119737724603223,0.166451712364636,1,AIPW,gam_2,0.137394877839875,2
0.149194388159504,0.126750117382171,0.172665798435672,2,auDRI,gam_2,0.137394877839875,2
0.147335089583141,0.118297753630243,0.176372425536038,2,AIPW,gam_2,0.137394877839875,2
0.1456917396952,0.122116626493146,0.168848657065032,3,auDRI,gam_2,0.137394877839875,2
0.149213560794418,0.129987532781425,0.168439588807411,3,AIPW,gam_2,0.137394877839875,2
0.341549048611765,0.319658165242167,0.363280392616148,4,auDRI,gam_2,0.137394877839875,2
0.341519486963083,0.320274791824453,0.362764182101714,4,AIPW,gam_2,0.137394877839875,2
0.143801564546189,0.120801816537574,0.167034571323124,1,auDRI,xgboost,0.137394877839875,2
0.148425806079107,0.126298474276041,0.170553137882173,1,AIPW,xgboost,0.137394877839875,2
0.153067685372996,0.129725256877762,0.178069974232306,2,auDRI,xgboost,0.137394877839875,2
0.178799725080451,0.152277062144952,0.20532238801595,2,AIPW,xgboost,0.137394877839875,2
0.16205141707606,0.138684391591161,0.18319128312952,3,auDRI,xgboost,0.137394877839875,2
0.164422049552708,0.145118076250369,0.183726022855047,3,AIPW,xgboost,0.137394877839875,2
0.341549048611765,0.318039635625092,0.361319621155379,4,auDRI,xgboost,0.137394877839875,2
0.341519486963083,0.320274791824453,0.362764182101714,4,AIPW,xgboost,0.137394877839875,2
0.20948139323231,0.18430767360838,0.234161250826893,1,auDRI,gam_0,0.207603723926688,3
0.206722890846378,0.182313410705082,0.231132370987675,1,AIPW,gam_0,0.207603723926688,3
0.213042364493263,0.187426087015977,0.238472052574845,2,auDRI,gam_0,0.207603723926688,3
0.207530699673988,0.175330717080795,0.239730682267181,2,AIPW,gam_0,0.207603723926688,3
