estimate,CI_left,CI_right,misp,estimator,iter
1.36167359778509,1.26567054234459,1.4576766532256,3,AIPW,5
1.73387884769949,1.56122132659493,1.90980741778123,4,auDRI,5
1.76961647449739,1.57416132389738,1.96507162509741,4,AIPW,5
1.40291467244141,1.30472146129431,1.5029105439335,1,auDRI,6
1.39710220369186,1.29880148839137,1.49540291899235,1,AIPW,6
1.47772941341717,1.31182050939713,1.65503784876201,2,auDRI,6
1.57190755468125,1.37461320720275,1.76920190215975,2,AIPW,6
1.4024371457034,1.30502776451296,1.50450265741958,3,auDRI,6
1.39875114178786,1.3004882372566,1.49701404631912,3,AIPW,6
1.52190256523708,1.34132608024416,1.69655099031337,4,auDRI,6
1.61107797201913,1.41358161687313,1.80857432716513,4,AIPW,6
1.33364025484214,1.22976514532673,1.42940219093001,1,auDRI,7
1.32533849068906,1.22508145740975,1.42559552396837,1,AIPW,7
1.4712789039173,1.30040046458083,1.63448813487872,2,auDRI,7
1.43124981437115,1.23363141668521,1.62886821205709,2,AIPW,7
1.33821590963179,1.2348199569305,1.43984427466619,3,auDRI,7
1.33206773169841,1.23300922616516,1.43112623723166,3,AIPW,7
1.5857152401904,1.42156003412562,1.753553569978,4,auDRI,7
1.63269722299509,1.43935590019324,1.82603854579694,4,AIPW,7
1.31981223496822,1.22962515699197,1.41629098753293,1,auDRI,8
1.32107377719213,1.22756771899903,1.41457983538523,1,AIPW,8
1.50977307196206,1.33229195804658,1.67946640131758,2,auDRI,8
1.54851143104529,1.35404586752085,1.74297699456973,2,AIPW,8
1.32839468279255,1.2354580363756,1.42129310304231,3,auDRI,8
1.3303662318137,1.23762494527996,1.42310751834744,3,AIPW,8
1.58180936665914,1.39157425423259,1.75626587226976,4,auDRI,8
1.63686514600004,1.4454237167955,1.82830657520457,4,AIPW,8
1.37211206141936,1.27770015190114,1.46427486463471,1,auDRI,9
1.3789880647137,1.28630681081895,1.47166931860844,1,AIPW,9
1.50804045191692,1.3326850331658,1.6825593004669,2,auDRI,9
1.54095533872,1.34944085513902,1.73246982230097,2,AIPW,9
1.37736883951998,1.28890616610116,1.47489733616786,3,auDRI,9
1.38141277638768,1.28883636098306,1.4739891917923,3,AIPW,9
1.5211418597388,1.34204657795342,1.6948822726909,4,auDRI,9
1.56201541856204,1.37114222346868,1.7528886136554,4,AIPW,9
1.42175492639466,1.32622238634414,1.50995304590406,1,auDRI,10
1.4130827125392,1.31680683441893,1.50935859065947,1,AIPW,10
1.45537504939187,1.27647894589618,1.65020960440111,2,auDRI,10
1.49564177072924,1.30109571836519,1.69018782309329,2,AIPW,10
1.42255861191845,1.32395147455928,1.51789868599277,3,auDRI,10
1.41256616396634,1.31645999588843,1.50867233204425,3,AIPW,10
1.47812662700143,1.29028058713598,1.66356877169417,4,auDRI,10
1.55636211393309,1.36397773655875,1.74874649130742,4,AIPW,10
1.34154111789976,1.24582160424494,1.44157077977704,1,auDRI,11
1.34114568152709,1.24514363292672,1.43714773012745,1,AIPW,11
1.41072292454099,1.23913526050105,1.5850887471584,2,auDRI,11
1.49585753990004,1.30024985513083,1.69146522466926,2,AIPW,11
1.33865712327217,1.24721974452801,1.4344234194369,3,auDRI,11
1.34190423265598,1.24576491213405,1.43804355317792,3,AIPW,11
1.45543195773529,1.28275814370767,1.63993251505212,4,auDRI,11
1.5272356881364,1.33046195231959,1.72400942395322,4,AIPW,11
1.42161037118699,1.32062032059719,1.52085271437146,1,auDRI,12
1.42176390845222,1.31892726675982,1.52460055014461,1,AIPW,12
1.52320967084367,1.33282200264734,1.70273045430356,2,auDRI,12
1.5343280447806,1.33108605066785,1.73757003889336,2,AIPW,12
1.43275508711801,1.3331025442302,1.53391270340458,3,auDRI,12
1.43290279905652,1.33120733718941,1.53459826092363,3,AIPW,12
1.62877799043124,1.43203711448817,1.8093928916471,4,auDRI,12
1.70044061631272,1.50130430036359,1.89957693226184,4,AIPW,12
