iter,method,coef,se,CI_left,CI_right
15,Tlearner,0.994807962924637,0.0258295011615639,0.944183070909336,1.04543285493994
15,Rlearner,0.997827771082964,0.031838231041663,0.935425984909839,1.06022955725609
15,intercept,1.21070791314366,0.0438772792436321,1.12470844582614,1.29670738046118
15,AIPW,1.07754154444929,0.0659555764560932,0.948268614595352,1.20681447430324
16,Tlearner,1.00414300464872,0.0254439435563017,0.954273791653703,1.05401221764375
16,Rlearner,1.00629336705135,0.0315398355807773,0.944476425234714,1.06811030886799
16,intercept,1.1585163207876,0.0436253523646782,1.07301063015283,1.24402201142237
16,AIPW,1.02088706732702,0.0257533834682024,0.97041043572934,1.07136369892469
17,Tlearner,1.02140602814362,0.0267546040559117,0.968967967773404,1.07384408851384
17,Rlearner,1.00389224944579,0.0329459390932392,0.93931939538619,1.06846510350539
17,intercept,1.13032590389627,0.0454130581313919,1.04131630995874,1.2193354978338
17,AIPW,1.02298609134391,0.0333097400477457,0.957699000850329,1.08827318183749
18,Tlearner,1.00324710357076,0.027500548850525,0.949347018268644,1.05714718887287
18,Rlearner,0.989734884062416,0.0325823906275493,0.925874571902204,1.05359519622263
18,intercept,1.16111652808329,0.0442988350184418,1.07429081144715,1.24794224471944
18,AIPW,0.971305314143331,0.0932364257825391,0.788561919609555,1.15404870867711
19,Tlearner,0.997714665865255,0.0274278964392763,0.943956976672579,1.05147235505793
19,Rlearner,1.0069195080847,0.0304625590457985,0.947213989478008,1.06662502669139
19,intercept,1.16637052162679,0.0417788171313443,1.08448404004935,1.24825700320422
19,AIPW,1.03574525295948,0.0305746633332769,0.975818912826261,1.09567159309271
20,Tlearner,0.96494759671499,0.0263389007927402,0.913324299768846,1.01657089366113
20,Rlearner,0.954976223260035,0.0322485311010814,0.891770263747595,1.01818218277247
20,intercept,1.12131792038187,0.0454914469269396,1.03215468440507,1.21048115635867
20,AIPW,1.010837521741,0.0649471691835008,0.883541070141339,1.13813397334066
21,Tlearner,0.999666997337737,0.0270232116739399,0.946702475710212,1.05263151896526
21,Rlearner,0.998096522101122,0.0324749391431363,0.934446810980445,1.0617462332218
21,intercept,1.17884419249973,0.0429116268936455,1.09473740378818,1.26295098121127
21,AIPW,1.01719925026391,0.0274868054153884,0.963325111649748,1.07107338887807
22,Tlearner,1.01470424752446,0.0281352179420016,0.959560233660955,1.06984826138797
22,Rlearner,0.999834471913299,0.0314731005427968,0.938148328367609,1.06152061545899
22,intercept,1.08809486522179,0.0408418043700845,1.00804492865642,1.16814480178715
