estimate,CI_left,CI_right,misp,estimator,lrnr,pos_const,n,ATE,iter
0.274715627601689,0.219962508973107,0.329468746230271,3,AIPW,xgboost,2,1000,0.273141999832491,2
0.39648033126294,0.338351825675168,0.45202540608662,4,auDRI,xgboost,2,1000,0.273141999832491,2
0.396828866100245,0.3406079789891,0.453049753211391,4,AIPW,xgboost,2,1000,0.273141999832491,2
0.291339250333335,0.20967865288712,0.369438406003136,1,auDRI,earth,2,1000,0.273093764278311,3
0.28678599931747,0.210234458156234,0.363337540478706,1,AIPW,earth,2,1000,0.273093764278311,3
0.318587619443605,0.241058733104925,0.394153766300725,2,auDRI,earth,2,1000,0.273093764278311,3
0.317398084381225,0.234874850877589,0.399921317884861,2,AIPW,earth,2,1000,0.273093764278311,3
0.330830361161089,0.264370517575083,0.398427092572982,3,auDRI,earth,2,1000,0.273093764278311,3
0.304015852921187,0.248495514537112,0.359536191305262,3,AIPW,earth,2,1000,0.273093764278311,3
0.420075763707889,0.36468725836305,0.47415187921603,4,auDRI,earth,2,1000,0.273093764278311,3
0.419567343352261,0.364296855326908,0.474837831377613,4,AIPW,earth,2,1000,0.273093764278311,3
0.298316367333996,0.210586779974928,0.390413726401389,1,auDRI,gam_1,2,1000,0.273093764278311,3
0.290529128018009,0.221394717073585,0.359663538962433,1,AIPW,gam_1,2,1000,0.273093764278311,3
0.306029585070295,0.228308561410558,0.383515112534236,2,auDRI,gam_1,2,1000,0.273093764278311,3
0.326674622134912,0.25048024288455,0.402869001385273,2,AIPW,gam_1,2,1000,0.273093764278311,3
0.278776649249495,0.215062649038559,0.343892555707546,3,auDRI,gam_1,2,1000,0.273093764278311,3
0.316591750962686,0.261559529747524,0.371623972177848,3,AIPW,gam_1,2,1000,0.273093764278311,3
